,success,te0,teav,output_shine_inj1,shine_inj2,clean_time_min,run_time_min,enbi,nbar,np,hfactor,index,run_dir,batch_num
821,True,43.325305,12.982396,0.016329,0.013612,0.0648412307103474,27.55337916612625,815.0871824473143,4.812368696182967,1.047531385906041,1.0920525104738772,1014,/tmp/ShineRunner-08390e63-c620-4ffd-9040-e0dcffd7bc02,0
823,True,47.746265,14.457954,0.159523,0.153976,0.0887177149454752,30.96117615302404,981.3795341178776,2.613612744957209,1.0629522181116045,0.8631297416053713,853,/tmp/ShineRunner-9467dbfa-de00-48fa-b363-c55757cbee73,0
824,True,58.556686,19.136081,0.065595,0.061385,0.0836152990659078,27.574121618270876,531.8516409024596,2.331387535482645,1.4299591118469834,1.385944949183613,1003,/tmp/ShineRunner-03c9adc5-69ae-4a22-b775-387e31498078,0
828,True,57.739171,19.476269,0.152686,0.140007,0.0863443533579508,27.574064695835112,992.0625952072442,2.522432912886143,1.2910140953026712,1.2808478035032749,1013,/tmp/ShineRunner-469000c6-0f12-4881-8791-bc75952c0d8b,0
829,True,51.222653,15.140933,0.011076,0.009705,0.1160991271336873,30.8236376007398,526.8269036896527,3.755238110944629,1.1329976189881563,1.2882801696658135,868,/tmp/ShineRunner-cfd432f7-db6e-4c74-a668-bad655b59b89,0
830,True,51.038424,15.451494,0.049791,0.040491,0.150460402170817,31.045212479432426,558.2741354592144,2.770065052807331,1.2048878828063607,1.1022117095068098,843,/tmp/ShineRunner-06824669-cc77-43a6-99bd-c7526612be5e,0
831,True,53.9709,18.586468,0.103461,0.087258,0.1484185735384623,30.841736121972403,830.2857931703329,2.662913965806365,1.4065796341747046,1.2501925455406309,873,/tmp/ShineRunner-da9f1089-e175-40ba-a722-52e9e7a727ce,0
832,True,67.373862,23.207673,0.252728,0.233246,0.1639684677124023,30.958441154162088,806.5129150636494,1.627125483378768,1.4580521821044383,1.49258108176291,849,/tmp/ShineRunner-08cccbb2-166a-49d8-b7c9-d4ae8cd45c57,0
833,True,59.334769,19.863726,0.119098,0.124036,0.1684945742289225,31.1252881248792,992.4453967250884,2.822135821729898,1.2722098226659,1.4171252597123385,842,/tmp/ShineRunner-ba624934-4d3b-403f-9a3c-33f53c6cbf30,0
834,True,49.762773,15.778931,0.004777,0.004777,0.167597226301829,30.99495632648468,609.9260877817869,4.799619687721133,1.2474873042665422,1.443935122899711,860,/tmp/ShineRunner-872fd1c4-fbe5-46ba-968d-070dcc2bbb7f,0
836,True,45.780517,13.224154,0.057315,0.0478,0.0573387145996093,27.325740949312845,642.4326337873936,2.9212336856871848,1.1007323791272938,0.91912306137383,872,/tmp/ShineRunner-9ea82638-7346-4bed-8dd1-6bc64f2f58e2,0
837,True,62.297998,18.831444,0.088589,0.075615,0.1860533912976582,31.15159434477488,759.3782995827496,2.7828203637152917,1.0274028717540205,1.4540729609318075,737,/tmp/ShineRunner-42c81271-f36f-4576-8467-facdb51c22b2,0
838,True,43.291408,13.71473,0.069075,0.054642,0.1866816838582356,31.057260600725808,887.359419837594,3.3681284043937927,1.1995550626888871,0.9541287486441434,850,/tmp/ShineRunner-bb8e452f-8376-4157-a23f-cd7683485515,0
839,True,49.881063,15.688452,0.029315,0.03082,0.0575102170308431,20.41741662422816,635.6520089320838,3.3147950645536186,1.2643411313183606,1.2029424387030303,1224,/tmp/ShineRunner-d1a2322a-24b2-4841-af57-ce8d3326acca,0
841,True,68.563604,21.61553,0.226485,0.217895,0.0583030978838602,20.417664869626364,676.9426516257226,1.5561469908803702,1.243080581072718,1.3668116251006723,1223,/tmp/ShineRunner-9456f65b-6806-4dc7-a812-6141b46acd41,0
842,True,47.088811,13.944856,0.023247,0.0242,0.1862185319264729,31.05950206518173,744.3281658925116,3.982245721295477,1.018049887381494,1.1130592646077275,848,/tmp/ShineRunner-214deb36-07b8-49a5-911f-8ea9853344c5,0
843,True,60.150562,18.740999,0.089916,0.083074,0.186536435286204,31.05818088849385,577.4245038628578,2.2159988891333344,1.260895303916186,1.3015129185281693,851,/tmp/ShineRunner-dd73b739-5643-49b5-a274-5ec576998c9b,0
844,True,53.151517,18.393719,0.264165,0.250487,0.060820464293162,30.9002850095431,961.514221969992,1.8477230224758388,1.3273946908302603,0.968578146211803,869,/tmp/ShineRunner-4464bbaf-21ca-4a28-aadf-b55a7c3cc2e6,0
845,True,60.599343,17.769801,0.100881,0.096004,0.060166839758555,30.900687475999195,620.3067316673696,2.3140538170933724,1.0040212483145297,1.2316222382709383,867,/tmp/ShineRunner-f40aee49-8742-4578-bd5d-8b83eb2b7398,0
848,True,55.573051,16.615821,0.059974,0.059266,0.1898645758628845,27.29509595632553,755.8848545886576,3.1018842395395043,1.0344802918843925,1.2412538507021964,862,/tmp/ShineRunner-63761859-a2bb-478d-8814-804720a98974,0
849,True,62.955224,19.912368,0.238269,0.227441,0.1893359144528706,31.01663912137349,849.9131049029529,1.7984060496091845,1.1712663089856503,1.1885045717470348,857,/tmp/ShineRunner-5338259c-ac85-42e7-9d97-111587fa5e92,0
850,True,42.700285,13.674661,0.049971,0.054463,0.189159095287323,31.01718490918477,593.7507208436728,2.6842588223516946,1.3570221648551524,0.901402121502906,707,/tmp/ShineRunner-b18d7ccd-e9a6-4615-a8f3-ca21aec53986,0
851,True,37.263702,13.486999,0.026669,0.022292,0.1893143852551778,31.01643757820129,956.2641652300954,4.440677223354578,1.427932373713702,1.0050832269713283,858,/tmp/ShineRunner-4c7dbc13-7fbe-4a7e-8e29-34dd0e9ada92,0
852,True,51.266981,17.983785,0.064546,0.058912,0.1893604000409444,32.739277418454485,979.1439943946898,3.492151303589345,1.3975282423198223,1.294446182344109,810,/tmp/ShineRunner-629c2562-ac71-4897-8af2-e7429577036d,0
853,True,54.568484,15.707196,0.098449,0.09991,0.210337762037913,31.03770007292429,540.3254781849682,2.1006053008139136,1.0784976207651198,0.963802025001496,811,/tmp/ShineRunner-7953f19e-5e41-4ce0-9e69-fdda1c24b355,0
854,True,42.639667,13.737045,0.02988,0.03082,0.2314700325330098,20.43877389828364,975.8874070830644,4.4979855094105,1.1806864948011937,1.067123510595411,874,/tmp/ShineRunner-f77a2de6-4a62-4f59-875d-ae6cd3262b4f,0
855,True,55.976148,17.390547,0.027048,0.02629,0.1189922094345092,30.959818716843923,857.3545217514038,4.215071022138,1.0840569399297235,1.480029862653464,870,/tmp/ShineRunner-8dae4e89-f528-4671-ade7-7ad1cc5976aa,0
856,True,37.612214,12.116377,0.006162,0.005173,0.1210778315862019,30.959870564937592,701.4495013281703,4.887651800364256,1.278616627678275,1.0428162719123066,864,/tmp/ShineRunner-e3d2ca0e-c183-4abe-bae0-86d332540b4a,0
857,True,39.549491,12.872274,0.038092,0.028938,0.0293082475662231,29.894768504301705,711.498158518225,3.505189855769277,1.3386878115125,0.9459762750193476,896,/tmp/ShineRunner-8adf20c5-9f7f-4b46-9305-e269a99bb9bd,0
858,True,38.95555,12.952497,0.037351,0.027616,0.0243009050687154,20.477153666814168,866.0882781259716,4.048967595770955,1.312111247330904,0.9763504069298506,1222,/tmp/ShineRunner-bfe6b82b-f26e-4611-a98e-201dad1741dd,0
861,True,31.987658,10.536661,0.014778,0.011858,0.1354366421699523,28.044275438785554,715.5147371813655,4.183219078183174,1.403206383343786,0.8374196792021394,1024,/tmp/ShineRunner-85c6a4f9-0870-43e7-92f2-ff8720f3d30f,0
862,True,36.174889,11.687004,0.027048,0.020376,0.1522279699643453,27.6751544713974,934.459688141942,4.549671394750476,1.2552374536171556,0.9151935499161482,994,/tmp/ShineRunner-a2d61060-a000-4e97-9b60-e4c0475a778c,0
863,True,50.919089,16.665397,0.031383,0.028372,0.1434924244880676,30.165624415874483,926.9624105654656,4.282313008233905,1.2319122874177992,1.3456676060333848,802,/tmp/ShineRunner-d70651af-90cc-4197-8242-31ea6d067f5b,0
866,True,40.485201,13.068185,0.064371,0.061562,0.1684934417406718,27.28049617211024,778.5307997837663,2.996478893235326,1.3230280834250152,0.8699325645342469,766,/tmp/ShineRunner-3cf9156f-d98a-4fc7-97e4-f9d70f0664fd,0
867,True,35.72308,10.243265,0.030444,0.025531,0.1943500359853108,28.83390030860901,883.40352056548,4.320226110517979,1.0101735815405846,0.8015391022898257,978,/tmp/ShineRunner-c8672f5f-1905-40d9-b2c6-d0aa8c0ce8f9,0
868,True,38.95555,12.952497,0.036423,0.027994,0.2307668924331665,28.762146846453348,866.0882781259716,4.048967595770955,1.312111247330904,0.9763504069298506,966,/tmp/ShineRunner-f4f67a3d-76f9-4723-8d25-4f25edba3d68,0
869,True,46.047922,16.305832,0.023438,0.017102,0.2311645865440368,27.938328437010448,802.9875666834414,4.266502006724477,1.478798198979348,1.2898184798657897,750,/tmp/ShineRunner-8a04166c-747f-44b3-a7c3-93f1c6445757,0
870,True,49.830336,15.203323,0.174509,0.159099,0.1515899300575256,27.27556284268697,892.4409486353397,2.3629627618938684,1.112022698391229,0.8966093514114619,909,/tmp/ShineRunner-0a29d6e4-296c-4d32-af04-5430578adc1a,0
871,True,54.627402,17.066855,0.049068,0.047075,0.1069599270820617,27.970004320144653,853.3449782989919,3.5418673507869247,1.140754190273583,1.32636416843161,998,/tmp/ShineRunner-b53ccd33-c054-4ca6-b0c4-af0d19fd1148,0
872,True,40.87127,12.730722,0.018453,0.019031,0.1484745422999064,29.27174185117086,900.8705127052964,4.750774750858545,1.1364955711178482,1.0350111026316882,946,/tmp/ShineRunner-d6294f31-81a1-4433-9982-f395fb3dfb8f,0
873,True,35.950957,10.511531,0.024009,0.023247,0.071833578745524,27.217645410696665,794.3873265758157,4.169426035508514,1.1286735790781677,0.832620897050947,1102,/tmp/ShineRunner-aa95381e-9a17-4382-ba42-623e18fca4e0,0
874,True,48.044683,15.728087,0.046166,0.045073,0.0366030176480611,27.233729024728135,799.3135964497924,3.559468820691109,1.2934295409359038,1.1826398361474275,878,/tmp/ShineRunner-b92f5c21-26dc-4081-9be1-0ec7345ebabc,0
875,True,62.154621,20.778408,0.187916,0.165275,0.042874797185262,28.070848580201467,729.1314476169646,1.8693553000688552,1.3774483688175678,1.3143083796836437,975,/tmp/ShineRunner-fe1e93dd-e7d8-4e80-839e-addb12700605,0
876,True,57.879434,17.682677,0.219238,0.213342,0.0441464702288309,29.298027686278022,839.7248103283346,1.9054962512105704,1.070743394549936,0.9997164342552424,937,/tmp/ShineRunner-d143787b-0e7b-4c86-92e7-9138c437d829,0
877,True,54.036483,19.010414,0.116608,0.119408,0.042782986164093,27.61046684185664,612.2095938771963,1.9798935011029248,1.480685126967728,1.1075316965579989,931,/tmp/ShineRunner-dad0ff77-8d56-4f42-af53-7653d11015bf,0
878,True,42.410452,14.999562,0.043062,0.03363,0.0580441196759541,27.61701610088348,678.9820319972932,3.1393734306097034,1.4782711658626797,1.0303972464054822,1080,/tmp/ShineRunner-7c918f39-6623-4831-b4b6-6c1915bf2c31,0
882,True,33.49598,11.006411,0.019416,0.014972,0.0626358230908711,27.57158215443293,939.2768712714314,4.836303509771824,1.304307583719492,0.8830784677527845,1082,/tmp/ShineRunner-50f12055-7e90-420c-bc4b-a7cb6692cbf5,0
884,True,40.948398,14.474235,0.043245,0.041595,0.04285356203715,30.321829974651337,765.4421264305711,3.390988736972213,1.448640115559101,1.0103890026919544,926,/tmp/ShineRunner-c71e5ea6-bcf8-44ad-a4d2-c95a1f40dcc2,0
885,True,36.542321,12.58549,0.01536,0.013223,0.0424271663029988,30.44075136979421,622.5425079464912,3.880165431648493,1.4565164214000106,0.9698370318859816,796,/tmp/ShineRunner-9a6401ac-3cc7-4644-809f-98dc9b8fdfe7,0
886,True,31.838111,10.987784,0.018453,0.013418,0.0418909827868143,27.870138037204743,847.8736053220928,4.47834758721292,1.435751325916499,0.8577221461571753,934,/tmp/ShineRunner-3b8eef91-dbe1-4c02-8e9a-718871c7316f,0
887,True,41.978222,12.380134,0.042146,0.043428,0.0421078960100809,27.870008623600008,571.2972595356405,2.858481565490365,1.215145295485854,0.8565249652601779,1068,/tmp/ShineRunner-4c45fde3-e3a0-40bf-9dbc-cc1dfe89be9a,0
888,True,48.044683,15.728087,0.046711,0.037906,0.0419142762819925,24.15789100329081,799.3135964497924,3.559468820691109,1.2934295409359038,1.1826398361474275,1134,/tmp/ShineRunner-aea8e83d-ed4f-40d9-9c5b-4889b6992671,0
889,True,54.707106,17.990078,0.105546,0.107302,0.0423907319704691,24.15843182007472,885.6717678718269,2.7385419916361573,1.2766076107509434,1.2254615309648216,1069,/tmp/ShineRunner-3b66551c-83b0-467d-8e30-64cf044c9902,0
891,True,43.084296,12.866163,0.017489,0.020184,0.0424221118291219,24.23205695549647,812.0917836204171,4.563871117308736,1.0023672357201576,1.0585318958386778,1070,/tmp/ShineRunner-5d72bd08-f090-484e-9cb8-cd10c64856e3,0
892,True,32.558636,8.599083,0.004579,0.00319,0.0189388950665791,30.96598794062932,546.9281962141395,4.616453982517124,1.0397846046835184,0.8660022916272283,372,/tmp/ShineRunner-1dd45690-76c1-4984-8e48-8b753f8ea750,0
